,word,frequency
0,istanbul,60
1,hotel,30
2,airport,30
3,square,22
4,taksim,21
5,visit,19
6,back,19
7,little,18
8,get,17
9,—,15
10,£,15
11,flight,15
12,could,15
13,decided,13
14,bus,13
15,palace,12
16,one,12
17,like,12
18,walk,11
19,turkish,11
20,room,11
21,main,11
22,great,11
23,got,11
24,time,10
25,nice,10
26,going,10
27,felt,10
28,way,9
29,stay,9
30,quite,9
31,night,9
32,lovely,9
33,enjoyed,9
34,day,9
35,busy,9
36,area,9
37,would,8
38,took,8
39,need,8
40,men,8
41,made,8
42,found,8
43,card,8
44,breakfast,8
45,bosphorus,8
46,bit,8
47,airways,8
48,sophia,7
49,sabiha,7
50,minutes,7
51,however,7
52,haggia,7
53,ferry,7
54,enjoy,7
55,end,7
56,city,7
57,booked,7
58,walking,6
59,visiting,6
60,views,6
61,tram,6
62,things,6
63,small,6
64,see,6
65,said,6
66,review,6
67,people,6
68,much,6
69,metro,6
70,london,6
71,lira,6
72,level,6
73,kiev,6
74,inverness,6
75,headed,6
76,guide,6
77,given,6
78,getting,6
79,checked,6
80,check,6
81,cafe,6
82,british,6
83,baths,6
84,baku,6
85,also,6
86,visa,5
87,trip,5
88,travel,5
89,tour,5
90,tiny,5
91,ticket,5
92,side,5
93,seat,5
94,really,5
95,new,5
96,move,5
97,man,5
98,luggage,5
99,looking,5
100,local,5
101,lift,5
102,life,5
103,information,5
104,including,5
105,hour,5
106,go,5
107,full,5
108,feel,5
109,entrance,5
110,early,5
111,couple,5
112,cost,5
113,coffee,5
114,cheapest,5
115,buses,5
116,asked,5
117,around,5
118,across,5
119,able,5
120,went,4
121,website,4
122,wear,4
123,watching,4
124,warm,4
125,wanted,4
126,view,4
127,used,4
128,use,4
129,told,4
130,suitel,4
131,stairs,4
132,sit,4
133,scrub,4
134,say,4
135,right,4
136,riga,4
137,reach,4
138,put,4
139,price,4
140,phone,4
141,pay,4
142,passport,4
143,particularly,4
144,option,4
145,number,4
146,november,4
147,next,4
148,many,4
149,make,4
150,machine,4
151,long,4
152,liked,4
153,interesting,4
154,head,4
155,good,4
156,gokcen,4
157,glad,4
158,friendly,4
159,flights,4
160,find,4
161,exploring,4
162,experience,4
163,easy,4
164,comfortable,4
165,close,4
166,centre,4
167,big,4
168,arrived,4
169,another,4
170,always,4
171,aisle,4
172,working,3
173,weather,3
174,via,3
175,unnerving,3
176,transportation,3
177,transfer,3
178,towel,3
179,terminal,3
180,tea,3
181,taken,3
182,take,3
183,sultanhamet,3
184,streets,3
185,steps,3
186,stayed,3
187,slippers,3
188,skin,3
189,sitting,3
190,sign,3
191,shuttle,3
192,short,3
193,shop,3
194,seemed,3
195,rooms,3
196,road,3
197,ride,3
198,return,3
199,receipt,3
200,probably,3
201,partly,3
202,part,3
203,nearby,3
204,near,3
205,mosque,3
206,months,3
207,meant,3
208,looks,3
209,looked,3
210,located,3
211,line,3
212,less,3
213,kart,3
214,ist,3
215,isg,3
216,hours,3
217,harem,3
218,hamami,3
219,funicular,3
220,free,3
221,floor,3
222,flew,3
223,first,3
224,feeling,3
225,fare,3
226,far,3
227,face,3
228,extremely,3
229,explore,3
230,enjoying,3
231,edge,3
232,dolmabahce,3
233,disappointed,3
234,difficult,3
235,different,3
236,cup,3
237,corner,3
238,colleague,3
239,code,3
240,clothes,3
241,chose,3
242,cash,3
243,came,3
244,building,3
245,beside,3
246,beautiful,3
247,ataturk,3
248,app,3
249,amazing,3
250,aga,3
251,actually,3
252,young,2
253,yigit,2
254,world,2
255,women,2
256,wise,2
257,walked,2
258,waiter,2
259,visited,2
260,upstairs,2
261,upper,2
262,underground,2
263,uncomfortable,2
264,tried,2
265,traveller,2
266,total,2
267,times,2
268,thought,2
269,terrace,2
270,taking,2
271,swimming,2
272,sure,2
273,supposedly,2
274,stunning,2
275,street,2
276,strait,2
277,stopped,2
278,still,2
279,steep,2
280,steam,2
281,station,2
282,spoke,2
283,speak,2
284,something,2
285,someone,2
286,soframe,2
287,sleep,2
288,slab,2
289,site,2
290,shore,2
291,sex,2
292,security,2
293,seats,2
294,sea,2
295,says,2
296,saying,2
297,returning,2
298,required,2
299,relaxing,2
300,relaxed,2
301,relax,2
302,rebook,2
303,ran,2
304,quickly,2
305,quick,2
306,pretty,2
307,prebooked,2
308,plenty,2
309,pleasant,2
310,planned,2
311,places,2
312,place,2
313,passengers,2
314,paid,2
315,originally,2
316,onto,2
317,oldest,2
318,old,2
319,oil,2
320,note,2
321,noisy,2
322,noise,2
323,nights,2
324,needed,2
325,mistake,2
326,met,2
327,massage,2
328,mask,2
329,luxury,2
330,lower,2
331,lot,2
332,loaded,2
333,let,2
334,late,2
335,lady,2
336,knickers,2
337,km,2
338,king,2
339,keen,2
340,issues,2
341,involved,2
342,internet,2
343,inside,2
344,included,2
345,impacted,2
346,huge,2
347,home,2
348,highlights,2
349,helpful,2
350,heathrow,2
351,heading,2
352,havaist,2
353,hall,2
354,guides,2
355,guests,2
356,grand,2
357,gozlem,2
358,girl,2
359,galata,2
360,funny,2
361,fun,2
362,fresh,2
363,flying,2
364,fly,2
365,finished,2
366,finally,2
367,faqs,2
368,fantastic,2
369,fact,2
370,extra,2
371,experiences,2
372,evisa,2
373,english,2
374,emerged,2
375,dropped,2
376,download,2
377,distance,2
378,dishes,2
379,days,2
380,dark,2
381,cute,2
382,crowded,2
383,crew,2
384,credit,2
385,covering,2
386,connect,2
387,congestion,2
388,congested,2
389,complex,2
390,collected,2
391,clearly,2
392,clean,2
393,cistern,2
394,cheap,2
395,charge,2
396,changed,2
397,cd,2
398,car,2
399,cancelled,2
400,buta,2
401,burger,2
402,bridge,2
403,bought,2
404,book,2
405,blogs,2
406,bazaar,2
407,bath,2
408,basilica,2
409,audio,2
410,approached,2
411,anything,2
412,american,2
413,although,2
414,alongwith,2
415,along,2
416,allow,2
417,air,2
418,absolutely,2
