,word,frequency
0,alone,8
1,could,5
2,way,4
3,something,4
4,someone,4
5,past,4
6,ones,4
7,find,4
8,back,4
9,years,3
10,understand,3
11,thought,3
12,started,3
13,see,3
14,people,3
15,peace,3
16,make,3
17,lives,3
18,life,3
19,home,3
20,got,3
21,getting,3
22,friends,3
23,found,3
24,ever,3
25,already,3
26,age,3
27,wrong,2
28,worried,2
29,worked,2
30,wish,2
31,went,2
32,used,2
33,twentyfive,2
34,thing,2
35,talked,2
36,still,2
37,share,2
38,relationship,2
39,realized,2
40,person,2
41,order,2
42,old,2
43,nothing,2
44,mum,2
45,met,2
46,married,2
47,loved,2
48,love,2
49,lonely,2
50,head,2
51,go,2
52,five,2
53,finally,2
54,figured,2
55,felt,2
56,fears,2
57,ending,2
58,afraid,2
